Date,Thực tế,Dự đoán theo LSTM,Dự đoán theo GRU,Dự đoán theo BiLSTM,Dự đoán theo Transformers,Dự đoán theo mô hình ConvLSTM
2020-01-18 20:00:00,1.0,1.0250714,1.1213626,1.0785967,1.0245609,0.9523745
2020-01-18 22:00:00,1.0,1.0306834,1.1024895,1.0612013,1.0245754,0.8983962
2020-01-19 00:00:00,1.0,0.95841193,1.1137441,1.184447,1.0261862,0.6912048
2020-01-19 02:00:00,1.21258044986124,1.2541387,1.3460066,1.3086491,1.0295887,1.2524849
2020-01-19 04:00:00,1.19806724679705,1.1315086,1.2497197,1.2933458,1.0358491,1.0907809
2020-01-19 06:00:00,2.035420784274,1.8924879,2.1102042,2.0419393,2.0291157,1.9263996
2020-01-19 08:00:00,1.0,1.000945,1.1296372,1.1216359,1.0252248,0.927219
2020-01-19 10:00:00,1.17625683338151,1.0973619,1.246118,1.2894155,1.02991,1.1097417
2020-01-19 12:00:00,1.0,0.94159365,1.0970551,1.0832759,1.0264157,0.8711853
2020-01-19 14:00:00,1.0,0.94091076,1.1525705,1.1077459,1.0246758,0.9579569
2020-01-19 16:00:00,1.0,0.91273963,1.141173,1.0785198,1.0249563,0.9689453
2020-01-19 18:00:00,1.0,0.9253162,1.1715848,1.0981334,1.025026,0.8889747
2020-01-19 20:00:00,1.0,0.8735185,1.0097219,1.1502522,1.0252866,0.876169
2020-01-19 22:00:00,1.0,0.87646496,1.057818,1.2007991,1.0263144,0.76640415
2020-01-20 00:00:00,1.0,0.9032107,1.1607931,1.1590085,1.0256513,0.9268904
2020-01-20 02:00:00,1.0,0.84486055,1.0934666,1.2278079,1.0251173,0.78613037
2020-01-20 04:00:00,1.0,0.8420403,1.0973017,1.1703687,1.0249397,0.80034405
2020-01-20 06:00:00,1.0,0.80353415,1.1378788,1.2498602,1.0252554,0.79921883
2020-01-20 08:00:00,1.0,0.7893574,1.1055454,1.2576236,1.0255737,0.7357961
2020-01-20 10:00:00,1.0,0.7689148,1.1828806,1.2925736,1.0247327,0.7699041
2020-01-20 12:00:00,1.0,0.766292,1.1469226,1.2470729,1.0252994,0.8062656
2020-01-20 14:00:00,1.0,0.8520168,1.182582,1.2174112,1.026103,0.9504302
2020-01-20 16:00:00,1.30982616776573,1.1316525,1.4294593,1.4471812,1.1065295,1.2832872
2020-01-20 18:00:00,1.0,0.87109876,1.2056086,1.2321833,1.0254406,0.9702159
2020-01-20 20:00:00,1.16569891295465,1.0446391,1.2686161,1.3344127,1.0327833,1.1000036
2020-01-20 22:00:00,1.0,0.88715595,1.1558022,1.2019417,1.0251089,0.9639556
2020-01-21 00:00:00,1.0,0.85563153,1.1189857,1.1914421,1.024779,0.9745613
2020-01-21 02:00:00,1.0,0.92300695,1.1595558,1.1246054,1.02593,1.0004139
2020-01-21 04:00:00,1.0,0.91252553,1.1290438,1.1300147,1.0279325,0.99314857
2020-01-21 06:00:00,1.0,0.943195,1.1562912,1.1207602,1.0268039,1.0119953
2020-01-21 08:00:00,1.2266027988511,1.1354349,1.3173628,1.3271034,1.0585217,1.2326244
2020-01-21 10:00:00,1.0,0.948778,1.1465853,1.1451426,1.0256641,0.98860914
2020-01-21 12:00:00,1.0,0.9340016,1.1633654,1.1628907,1.0255098,0.9826513
2020-01-21 14:00:00,1.07917544258941,1.0024564,1.2351398,1.2254869,1.0262029,1.0686481
2020-01-21 16:00:00,1.0,0.9527238,1.1805568,1.1355892,1.0250266,1.0016665
2020-01-21 18:00:00,1.0,0.95992047,1.1587076,1.1183856,1.0250489,0.97121555
2020-01-21 20:00:00,1.0,0.90652525,1.1603833,1.1537089,1.0250814,0.96339184
2020-01-21 22:00:00,2.0,1.8243219,2.1084287,2.1166208,1.9291806,1.9068638
2020-01-22 00:00:00,2.0,1.8350387,2.1117537,2.15437,1.9063205,1.8637266
2020-01-22 02:00:00,1.0,0.9159966,1.1685945,1.1365086,1.0248818,0.87425905
2020-01-22 04:00:00,1.0,0.9315151,1.175207,1.1354727,1.0247793,0.9215147
2020-01-22 06:00:00,1.0,0.98236394,1.1313838,1.1072046,1.0247343,0.94262195
2020-01-22 08:00:00,1.0,0.9615171,1.1412525,1.1139358,1.0246358,0.9512643
2020-01-22 10:00:00,1.0,0.9399091,1.130665,1.1156961,1.025042,0.9150795
2020-01-22 12:00:00,1.0,1.01394,1.132653,1.0537065,1.0246861,0.91524184
2020-01-22 14:00:00,2.0,1.9561889,2.0731049,2.0013597,1.8773544,1.8359736
2020-01-22 16:00:00,2.0,1.9814975,2.0637949,2.0174918,1.8744806,1.8375503
2020-01-22 22:00:00,4.0,4.065695,4.092502,4.0523562,4.108215,3.9489684
2020-01-23 00:00:00,3.0,2.9818306,3.1602542,3.030223,2.832485,2.930641
2020-01-23 06:00:00,1.0,0.9036078,1.183491,1.0267472,1.0244372,0.8882512
2020-01-23 08:00:00,1.0,0.98676926,1.1779519,1.035499,1.0243981,0.92698836
2020-01-23 10:00:00,1.0,0.933066,1.1136293,1.0426865,1.0244398,1.0109591
2020-01-23 12:00:00,3.0,2.948456,2.9912932,2.8986573,3.2165904,3.0306213
2020-01-23 14:00:00,3.0,3.0963652,3.0853183,3.0095963,3.0064325,2.8789291
2020-01-23 16:00:00,1.0,1.0954877,1.0849986,1.1038345,1.0251787,0.8644466
2020-01-23 18:00:00,1.0,0.9814929,1.1541605,0.9898107,1.0249228,0.9270817
2020-01-23 20:00:00,1.0,0.96575016,1.0810024,1.048397,1.0247664,0.87350833
2020-01-23 22:00:00,2.0,1.9915726,2.0102603,2.0371563,1.9236852,1.964452
2020-01-24 00:00:00,2.0,2.0568433,1.9599451,1.9668013,1.8993826,1.9804
2020-01-24 02:00:00,1.0,1.1154956,1.0442542,0.99950457,1.0245928,0.9388286
2020-01-24 04:00:00,1.0,1.0888782,1.100588,1.0259318,1.025231,0.9216691
2020-01-24 06:00:00,1.0,1.0151488,1.1554569,1.0516765,1.0252452,0.88617414
2020-01-24 08:00:00,1.0,0.89689595,1.0497924,1.1471214,1.0259807,0.82104474
2020-01-24 10:00:00,1.0,0.94154125,1.1517549,1.1674559,1.0279884,0.69881773
2020-01-24 12:00:00,1.0,0.91417474,1.1787758,1.1957548,1.0258762,0.7363684
2020-01-24 14:00:00,1.0,0.8989799,1.0985793,1.1323096,1.0280994,0.92258495
2020-01-24 16:00:00,1.0,0.93012345,1.0687732,1.1183225,1.0262552,1.0001751
2020-01-24 18:00:00,1.0,0.9596416,1.0212551,1.0879782,1.0250279,1.0439304
2020-01-24 20:00:00,1.0,0.9061349,1.0635853,1.0363566,1.0251863,0.9596654
2020-01-24 22:00:00,1.0,0.89894074,1.0932384,1.0800588,1.024789,1.0157932
2020-01-25 00:00:00,1.0,0.9444066,1.0811634,1.0890044,1.0267589,1.0503111
2020-01-25 02:00:00,1.0,0.9203649,1.1113048,1.0657566,1.0279716,1.020384
2020-01-25 04:00:00,1.0,1.0033325,1.1033541,1.0867058,1.0260535,1.0561656
2020-01-25 06:00:00,1.0,0.9534037,1.1299124,1.0770103,1.0253807,1.0277989
2020-01-25 08:00:00,1.0,0.93882203,1.1462939,1.0476345,1.0249332,1.0403049
2020-01-25 10:00:00,1.0,0.97718567,1.1094095,1.0508454,1.0255919,1.0436689
2020-01-25 12:00:00,1.0,0.97987795,1.1395684,1.0612459,1.0272821,1.0419663
2020-01-25 14:00:00,1.07044618081814,1.0737977,1.25665,1.1289828,1.0280441,1.1369861
2020-01-25 16:00:00,1.0,0.9670173,1.1798052,1.0476321,1.0251971,1.0720128
2020-01-25 18:00:00,1.0,0.98599887,1.1674558,1.0277673,1.025078,1.056508
2020-01-25 20:00:00,1.09647215482092,1.1089956,1.2485225,1.1422987,1.0278273,1.1391096
2020-01-25 22:00:00,1.0,1.0189593,1.1682441,1.0367544,1.0260315,1.0376248
2020-01-26 00:00:00,1.0,1.0320141,1.1898221,1.0301534,1.0258086,1.0602791
2020-01-26 02:00:00,1.0,1.027072,1.1691916,1.0276932,1.0255516,1.0309038
2020-01-26 04:00:00,1.0,1.0218823,1.1660523,1.0236428,1.0256107,1.0287589
2020-01-26 06:00:00,1.0,1.0294755,1.1691759,1.0435199,1.0256972,1.0263402
2020-01-26 08:00:00,1.0,1.0350972,1.1639293,1.0702363,1.0254189,1.0063516
2020-01-26 12:00:00,1.1158124672077,1.1308651,1.2834713,1.1130729,1.0312927,1.168812
2020-01-26 14:00:00,1.0,1.1144456,1.1821082,0.9182128,1.0249676,1.1145198
2020-01-26 16:00:00,1.06884804418996,1.1918494,1.2113369,0.9324271,1.0255102,1.20274
2020-01-26 18:00:00,1.0,1.1358343,1.1560018,0.85891396,1.0247709,1.1402705
2020-01-26 20:00:00,1.0,1.1382372,1.1426097,0.85337883,1.0246413,1.1266985
2020-01-26 22:00:00,1.07654619528696,1.2198911,1.2109134,0.89572436,1.0258657,1.2189503
2020-01-27 00:00:00,1.0,1.176301,1.1384817,0.81256616,1.0247977,1.1570348
2020-01-27 02:00:00,1.0,1.1775424,1.1350969,0.8119086,1.0247587,1.1601913
2020-01-27 04:00:00,1.09654915382792,1.2606815,1.214342,0.8914104,1.0270329,1.2566854
2020-01-27 06:00:00,1.0,1.1950245,1.154669,0.8088283,1.0250741,1.1736857
2020-01-27 08:00:00,1.11708652212248,1.2740685,1.243569,0.9177922,1.0269318,1.2968465
2020-01-27 10:00:00,1.09805507029095,1.2763836,1.2316747,0.89689326,1.026707,1.2811266
2020-01-27 12:00:00,1.26375581351602,1.410873,1.3767496,1.0454608,1.0511068,1.4702517
2020-01-27 14:00:00,1.0,1.2180585,1.1868271,0.8152488,1.0249704,1.2063204
2020-01-27 16:00:00,1.12111091886788,1.3006977,1.2561675,0.9208592,1.0281482,1.3305213
2020-01-27 18:00:00,1.12243859373667,1.3077983,1.2700945,0.92219734,1.0285453,1.3303313
2020-01-27 20:00:00,1.0,1.1925424,1.1591142,0.8126849,1.0248266,1.1984532
2020-01-27 22:00:00,1.06718644500243,1.2470813,1.1976032,0.85734975,1.0257297,1.253492
2020-01-28 00:00:00,1.08471609111488,1.2483976,1.2023749,0.891286,1.0261598,1.2203255
2020-01-28 02:00:00,1.0,1.1893818,1.1333627,0.79894704,1.0247115,1.1710645
2020-01-28 04:00:00,1.0,1.1942807,1.127957,0.8026464,1.0248829,1.1712525
2020-01-28 06:00:00,1.0,1.1954987,1.1256924,0.8038956,1.0247316,1.1604656
2020-01-28 08:00:00,1.16214150463473,1.3102865,1.2592446,0.9485359,1.0271834,1.3309684
2020-01-28 10:00:00,1.0,1.1894404,1.1254215,0.7963043,1.0245428,1.1511418
2020-01-28 12:00:00,1.0,1.204123,1.1388139,0.80889076,1.0245703,1.1577469
2020-01-28 14:00:00,1.0,1.2003663,1.1506871,0.81313366,1.02458,1.1570852
2020-01-28 16:00:00,1.0,1.1988862,1.1511066,0.8203254,1.0243566,1.1274755
2020-01-28 18:00:00,1.0,1.2075487,1.1641504,0.8441651,1.0242957,1.0752443
2020-01-28 20:00:00,1.0,1.2285355,1.1691803,0.8414126,1.0242592,1.0633969
2020-01-28 22:00:00,1.0,1.2291001,1.1467562,0.84501916,1.0242494,1.062389
2020-01-29 00:00:00,1.0,1.2246181,1.1382886,0.83977103,1.0242859,1.0512053
2020-01-29 02:00:00,1.70733494054058,1.7908335,1.6790096,1.451629,1.8134822,1.7984619
2020-01-29 04:00:00,1.35313531548979,1.4881457,1.425796,1.154794,1.0329725,1.4300017
2020-01-29 06:00:00,1.30271881946119,1.4354292,1.3700941,1.115961,1.028805,1.3767368
2020-01-29 08:00:00,1.13732874201491,1.3082484,1.2715518,0.99476606,1.0245588,1.1670427
2020-01-29 10:00:00,1.18499561786726,1.3091832,1.2930199,1.0326406,1.0249817,1.1963521
